laptop_title,asin,id,Laptop Type,price,brand,RAM,CPU,Hard Drive,Graphics Coprocessor,Operating System,Standing screen display size,Screen Resolution,color,Item Weight,Product Dimensions,ssd_size_gb,hdd_size_gb,Normalized Hard Drive,storage_type_bitmask,price_bucket,screen_size_bucket,RAM Bucket,Normalized OS,GPU Tier,Screen Resolution Bucket,bitmask,storage_config
"MICROSOFT SURFACE BOOK (512 GB, 16 GB RAM, INTEL CORE I7, NVIDIA GEFORCE GRAPHICS) AND MICROSOFT SURFACE DOCK",b01be19sdi,172,Everyday Use,1200,Microsoft,16GB,Intel Core I7,512GB SSD,No Graphics Card,Windows 10 Home,13.5 inches,1920 x 1080 pixels,Black,3.31 pounds,14.0 x 9.0 x 0.7 inches,512,,ssd only,1,1200-1600,13-15,16-Aug,Windows 10,No GPU,Medium Res,000010011001011010100001000010001,hdd+ssd
"DELL 2016 NEW INSPIRON 14 5000 GAMING LAPTOP, 14 INCH TOUCHSCREEN DISPLAY, INTEL CORE I7-5500U 2.40 GHZ WITH TURBO BOOST, 8GB DDR3L,1TB HDD, NVIDIA GEFORCE 920M, BACKLIT KEYBOARD WITH WAVES MAXXAUDIO",b01gkc5rsg,173,Gaming,1200,Dell,8GB,Intel Core I7,1TB HDD,Nvidia Geforce 920,Windows 10 Home,14.0 inches,1366 x 768 pixels,Black,2.64 pounds,12.6 x 8.3 x 0.7 inches,,1024,hdd only,2,1200-1600,13-15,16-Aug,Windows 10,Entry-Level GPU,Low Res,010010001001011001000001000001001,ssd+hdd
"LENOVO 2022 LEGION 5 GEN 7 15.6"" FHD 165HZ GAMING LAPTOP, AMD RYZEN 7 6800H, 16GB DDR5 RAM, 1TB PCIE SSD, NVIDIA GEFORCE RTX 3070TI, 4ZONE RGB BACKLIT KEYBOARD, GRAY, WIN 11 PRO, 32GB USB CARD",b09clzth6m,174,Gaming,1679,Lenovo,32GB,AMD Ryzen 7,1TB SSD,Nvidia Geforce RTX 3070,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Gray,5.7 pounds,14.27 x 10.5 x 0.9 inches,1024,,ssd only,1,1600-2000,15-17,24-32,Windows 10,High-End GPU,Medium Res,010011010110000110001001001010000,hdd+ssd
"Acer Predator 17 Gaming Laptop, 17.3Â Full HD, Core i7, NVIDIA GTX970M, 16GB DDR4, 128GB SSD, 1TB HDD, G9-791-735A",b0161bjg06,175,Gaming,1200,Acer,16GB,Intel Core I7,128GB SSD + 1TB SSD,Nvidia Geforce GTX 970,Windows 10 Home,17.3 inches,1920 x 1080 pixels,Black,8.71 pounds,16.65 x 12.66 x 1.56 inches,1152,,ssd only,1,1200-1600,>17,16-Aug,Windows 10,Unknown,Medium Res,010010000010011010101001011010001,hdd+ssd
"OMEN BY HP 2019 15-INCH GAMING LAPTOP, INTEL I7-9750H PROCESSOR, NVIDIA GTX 1660TI (6 GB), 8 GB RAM, 256 GB SSD, VR READY, WINDOWS 10 HOME (15-DC1020NR, BLACK)",b07sg1dy8t,176,Gaming,1200,HP,8GB,Intel Core I7,256GB SSD,Nvidia Geforce GTX 1660,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Black,5.34 pounds,14 x 9 x 0.7 inches,256,,ssd only,1,1200-1600,15-17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,010010010001011010011001001010001,hdd+ssd
"MICROSOFT SURFACE BOOK (512 GB, 16 GB RAM, INTEL CORE I7, NVIDIA GEFORCE GRAPHICS) (RENEWED)",b071gmfrk4,177,Everyday Use,600,Microsoft,16GB,Intel Core I7,512GB SSD,No Graphics Card,Windows 10 Home,13.5 inches,1920 x 1080 pixels,Silver,2.4 pounds,14 x 9 x 0.7 inches,512,,ssd only,1,<800,13-15,16-Aug,Windows 10,No GPU,Medium Res,001000011001011010100001000010001,hdd+ssd
"OMEN X BY HP 17-INCH GAMING LAPTOP, INTEL CORE I7-7700HQ PROCESSOR, NVIDIA GEFORCE GTX 1070 8 GB, 16 GB RAM, 1 TB HARD DRIVE, 256 GB SOLID-STATE DRIVE, WINDOWS 10 HOME (17-AP010NR, BLACK)",b075lksjz7,178,Gaming,1200,HP,16GB,Intel Core I7,256GB SSD + 1TB SSD,Nvidia Geforce GTX 1070,Windows 10 Home,17.3 inches,1920 x 1080 pixels,Black,10.0 pounds,14 x 9 x 0.7 inches,1280,,ssd only,1,1200-1600,>17,16-Aug,Windows 10,High-End GPU,Medium Res,010010010001011010001001011010001,hdd+ssd
"MICROSOFT SURFACE BOOK 9E2-00001 2-IN-1 LAPTOP, INTEL CORE I7-6600U, 8GB RAM, 256GB SSD, NVIDIA GEFORCE GTX 965M (RENEWED)",b07z9n425y,179,Gaming,1200,Microsoft,8GB,Intel Core I7,256GB SSD,Nvidia Geforce GTX 965,Windows 10 Home,13.5 inches,3000 x 2000 pixels,Silver,8.27 pounds,14.0 x 9.0 x 0.7 inches,256,,ssd only,1,1200-1600,13-15,16-Aug,Windows 10,Unknown,High Res,010010011001011010101001000000001,hdd+ssd
"DELL INSPIRON I5577-7342BLK-PUS,15.6"" GAMING LAPTOP, (INTEL CORE I7,16GB,512GB SSD),NVIDIA GTX 1050",b06xfc44cl,180,Gaming,948,Dell,16GB,Intel Core I7,512GB SSD,Nvidia Geforce GTX 1050,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Black,5.66 pounds,14 x 9 x 0.7 inches,512,,ssd only,1,800-1000,15-17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,010111001001011010011001001010001,hdd+ssd
"ALIENWARE AW17R4-7005SLV-PUS 17"" LAPTOP (7TH GENERATION INTEL CORE I7, 16GB RAM, 1TB HDD, SILVER) WITH NVIDIA GTX 1060",b01n4bmmjk,181,Gaming,1800,Alienware,16GB,Intel Core I7,1TB HDD,Nvidia Geforce GTX 1060,Windows 10 Home,17.3 inches,1920 x 1080 pixels,Epic Silver,9.7 pounds,14 x 9 x 0.7 inches,,1024,hdd only,2,1600-2000,>17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,010011000011011001011001011010001,ssd+hdd
"MSI GL63 9SDK-614 15.6"" GAMING LAPTOP, 144HZ DISPLAY, INTEL CORE I7-9750H, NVIDIA GEFORCE GTX1660TI, 16GB, 256GB NVME SSD + 1TB HDD",b07q433v3t,182,Gaming,800,MSI,16GB,Intel Core I7,256GB SSD + 1TB SSD,Nvidia Geforce GTX 1660,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Black,9.48 pounds,15.07 x 10.23 x 1.16 inches,1280,,ssd only,1,800-1000,15-17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,010111011000011010011001001010001,hdd+ssd
"RAZER BLADE 15 BASE GAMING LAPTOP 2020: INTEL CORE I7-10750H 6-CORE, NVIDIA GEFORCE RTX 2060, 15.6"" FHD 1080P 144HZ, 16GB RAM, 512GB SSD (RENEWED)",b08hy17891,183,Gaming,1800,Razer,16GB,Intel Core I7,512GB SSD,Nvidia Geforce RTX 2060,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Black,4.69 pounds,14 x 9 x 0.7 inches,512,,ssd only,1,1600-2000,15-17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,010011011100011010011001001010001,hdd+ssd
"RAZER BLADE 15 BASE GAMING LAPTOP 2021: INTEL CORE I7-10750H 6 CORE, NVIDIA GEFORCE RTX 3070, 15.6"" FHD 1080P 144HZ, 16GB, 512GB SSD - CNC ALUMINUM - CHROMA RGB LIGHTING - THUNDERBOLT 3",b08sjgj6l8,184,Gaming,2200,Razer,16GB,Intel Core I7,512GB SSD,Nvidia Geforce RTX 3070,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Black,4.6 pounds,9.25 x 13.98 x 0.78 inches,512,,ssd only,1,2000-2500,15-17,16-Aug,Windows 10,High-End GPU,Medium Res,010100011100011010001001001010001,hdd+ssd
"ASUS ROG G752VT-DH72 17 INCH GAMING LAPTOP, NVIDIA GEFORCE GTX 970M 3 GB VRAM, 16 GB DDR4, 1 TB, 128 GB NVME SSD",b01578zn0q,185,Gaming,1200,ASUS,16GB,Intel Core i5,128GB SSD + 1TB SSD,Nvidia Geforce GTX 970,Windows 10 Home,17.0 inches,1920 x 1080 pixels,Black,8.8 pounds,15.6 x 10.4 x 1 inches,1152,,ssd only,1,1200-1600,15-17,16-Aug,Windows 10,Unknown,Medium Res,010010000001100010101001001010001,hdd+ssd
"LENOVO IDEAPAD L340 GAMING LAPTOP, 15.6 INCH FHD (1920 X 1080) IPS DISPLAY, INTEL CORE I5-9300H PROCESSOR, 8GB DDR4 RAM, 512GB NVME SSD, NVIDIA GEFORCE GTX 1650, WINDOWS 10, 81LK00HDUS, BLACK",b07vc55lf5,186,Gaming,830,Lenovo,8GB,Intel Core I5,512GB SSD,Nvidia Geforce GTX 1650,Windows 10,15.6 inches,1920 x 1080 pixels,Black,4.84 pounds,14.13 x 9.83 x 0.98 inches,512,,ssd only,1,800-1000,15-17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,010111010110010110011001001010001,hdd+ssd
"RAZER BLADE 15 BASE GAMING LAPTOP 2020: INTEL CORE I7-10750H 6-CORE, NVIDIA GEFORCE RTX 2070 MAX-Q,15.6"" 4K OLED,16GB RAM,512GB SSD, CNC ALUMINUM,CHROMA RGB,THUNDERBOLT 3,CREATOR READY, MERCURY WHITE",b086mfzbmb,187,Gaming,2300,Razer,16GB,Intel Core I7,512GB SSD,Nvidia Geforce RTX 2070,Windows 10 Home,15.6 inches,3840 x 2160 pixels,White,8.63 pounds,14 x 9 x 0.7 inches,512,,ssd only,1,2000-2500,15-17,16-Aug,Windows 10,High-End GPU,High Res,010100011100011010001001001000001,hdd+ssd
"HP ENVY X360 LATE 2019,15.6 FULL HD TOUCH,INTEL I7-10510U QUADCORE 10TH GEN,NVIDIA MX250(4 GB),1TB SSD,16GB RAM,WIN 10 PRO PRE-INSTALLED, NEOPACK 64GB FLASH DRIVE,B&O SPEAKERS,FINGERPRNT, WTY",b081d7c6cd,188,Everyday Use,1200,HP,64GB,Intel Core I7,1TB SSD,Nvidia Geforce MX250,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Silver,4.53 pounds,14.13 x 9.68 x 0.67 inches,1024,,ssd only,1,1200-1600,15-17,>40,Windows 10,Unknown,Medium Res,000010010001011010101001001010011,hdd+ssd
"LENOVO 2023 LEGION 5I 15.6"" 165HZ WQHD IPS GAMING LAPTOP 14-CORE INTEL I7-12700H 16GB DDR5 512GB SSD NVIDIA GEFORCE RTX 3060 6GB GDDR6 HDMI THUNDERBOLT4 WIFI 6E RJ45 BACKLIT WINDOWS 10 HOME W/RE USB",b08x1p3yv4,189,Gaming,1650,Lenovo,16GB,Intel Core I7,512GB SSD,Nvidia Geforce RTX 3060,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Gray,10.0 pounds,14.13 x 10.33 x 0.95 inches,512,,ssd only,1,1600-2000,15-17,16-Aug,Windows 10,High-End GPU,Medium Res,010011010110011010001001001010001,hdd+ssd
"SAMSUNG NOTEBOOK 7 SPIN 2-IN-1 15.6-INCH FULL HD TOUCHSCREENWITH BACKLIT KEYBOARD LAPTOP (INTEL CORE I7-6500U, NVIDIA GEFORCE 940MX, 12GB DDR3L, 1TB HDD, WINDOWS 10) (PLATINUM SILVER)",b01ncj3s5n,190,Everyday Use,1200,Samsung,12GB,Intel Core I7,1TB HDD,Nvidia Geforce 940,Windows 10,15.6 inches,1920 x 1080 pixels,Platinum Silver,5.0 pounds,14.7 x 10.1 x 0.8 inches,,1024,hdd only,2,1200-1600,15-17,16-Aug,Windows 10,Entry-Level GPU,Medium Res,000010011110011001000001001010001,ssd+hdd
"ASUS ROG Strix G17 (2021) Gaming Laptop, 17.3Â 144Hz IPS Type FHD, NVIDIA GeForce RTX 3050 Ti, AMD Ryzen 7 5800H, 16GB DDR4, 512GB PCIe NVMe SSD, RGB Keyboard, Windows 10, G713QE-RB74",b08zlgw774,191,Gaming,1200,ASUS,16GB,AMD Ryzen 7,512GB SSD,Nvidia Geforce RTX 3050,Windows 10,17.3 inches,1920 x 1080 pixels,Black,9.53 pounds,15.6 x 11.1 x 0.8 inches,512,,ssd only,1,1200-1600,>17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,010010000001000110011001011010001,hdd+ssd
"MICROSOFT SURFACE BOOK (512 GB, 16 GB RAM, INTEL CORE I7, NVIDIA GEFORCE GRAPHICS) DOCK STATION BUNDLE",b01dli3kou,192,Everyday Use,1200,Microsoft,16GB,Intel Core I7,512GB SSD,No Graphics Card,Windows 10 Home,13.5 inches,1920 x 1080 pixels,Black,3.5 pounds,14 x 9 x 0.7 inches,512,,ssd only,1,1200-1600,13-15,16-Aug,Windows 10,No GPU,Medium Res,000010011001011010100001000010001,hdd+ssd
"MSI GE75 RAIDER GAMING LAPTOP, 10TH GEN INTEL CORE I7-10750H, 17.3"" FHD 144HZ 3MS DISPLAY, BACKLIGHT KEYBOARD, NVIDIA GEFORCE RTX 2060 6GB, WINDOWS 10 HOME (32GB RAM/1TB PCIE SSD)",b08c3834gr,193,Gaming,1200,MSI,32GB,Intel Core I7,512GB SSD + 1TB SSD,Nvidia Geforce RTX 2060,Windows 10 Home,17.3 inches,1920 x 1080 pixels,Black,5.25 pounds,14.17 x 10.43 x 0.91 inches,1536,,ssd only,1,1200-1600,>17,24-32,Windows 10,Mid-Range GPU,Medium Res,010010011000011010011001011010000,hdd+ssd
"DELL I5577-5335BLK-PUS INSPIRON 15"" FULL HD GAMING LAPTOP - 7TH GEN INTEL CORE I5-8GB MEMORY - 256GB SSD - NVIDIA GEFORCE GTX 1050 - BLACK",b06xfgdd8p,194,Gaming,800,Dell,8GB,Intel Core I5,256GB SSD,Nvidia Geforce GTX 1050,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Black,5.66 pounds,14 x 9 x 0.7 inches,256,,ssd only,1,800-1000,15-17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,010111001001010110011001001010001,hdd+ssd
"MSI GP73 LEOPARD-609 (8TH GEN INTEL CORE I7-8750H, 8GB DDR4 2666MHZ, 1TB HDD, NVIDIA GEFORCE GTX 1060 6GB, 17.3"" FULL HD 120HZ 3MS DISPLAY, WINDOWS 10 HOME) VR READY GAMING LAPTOP",b07fykdypr,195,Gaming,1200,MSI,8GB,Intel Core I7,256GB SSD + 1TB SSD,Nvidia Geforce GTX 1060,Windows 10 Home,17.3 inches,1920 x 1080 pixels,Black,6.0 pounds,16.49 x 11.29 x 1.25 inches,1280,,ssd only,1,1200-1600,>17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,010010011000011010011001011010001,hdd+ssd
"LENOVO THINKPAD P15V BUSINESS MOBILE WORKSTATION LAPTOP, 15.6"" UHD DISPLAY, INTEL CORE I7-11800H, NVIDIA QUADRO T600, 32GB RAM, 1TB PCIE SSD, 3-YR WARRANTY, BACKLIT KB, FP READER, WINDOWS 11 PRO",b0bmcf9gwh,196,Everyday Use,1359,Lenovo,32GB,Intel Core I7,1TB SSD,Nvidia Quadro T600,Windows 11,15.0 inches,1920 x 1080 pixels,Black,6.0 pounds,14.43 x 9.84 x 0.83 inches,1024,,ssd only,1,1200-1600,15-17,24-32,Windows 11,Unknown,Medium Res,000010010110011010101010001010000,hdd+ssd
"ASUS V551LB-SH71T - 15.6"" TOUCHSCREEN LAPTOP - INTEL CORE I7-4500U 2.7GHZ PROCESSOR - 12GB RAM - 1TB HARD DRIVE - 2GB NVIDIA G740M VIDEO CARD - DVDÂ±RW - HD WEBCAM - WIFI - BT - WINDOWS 8",b00hlttz8g,197,Everyday Use,1200,ASUS,12GB,Intel Core I7,1TB HDD,Nvidia Geforce GTX740,Windows 8,15.6 inches,1920 x 1080 pixels,Black,7.5 pounds,14 x 9 x 0.7 inches,,1024,hdd only,2,1200-1600,15-17,16-Aug,Windows 8,Unknown,Medium Res,000010000001011001101100001010001,ssd+hdd
"ALIENWARE M17 R4, 17.3 INCH FHD (FULL HD) GAMING LAPTOP - INTEL CORE I7-10870H, 16GB DDR4 RAM, 1TB SSD, NVIDIA GEFORCE RTX 3060 6GB GDDR6, WINDOWS 10 HOME - LUNAR LIGHT",b08xfq9jq3,198,Gaming,1800,Alienware,16GB,Intel Core I7,1TB SSD,Nvidia Geforce RTX 3060,Windows 10 Home,17.3 inches,1920 x 1080 pixels,White,4.5 pounds,15.6 x 10.4 x 1 inches,1024,,ssd only,1,1600-2000,>17,16-Aug,Windows 10,High-End GPU,Medium Res,010011000011011010001001011010001,hdd+ssd
"LENOVO 2023 NEWEST IDEAPAD GAMING 3 LAPTOP, 15.6"" FHD 120HZ DISPLAY, AMD RYZEN 5 6600H PROCESSOR(BEAT I5-12400F), NVIDIA GEFORCE RTX 3050, 16GB DDR5 RAM, 1TB SSD, WIFI 6, BLUETOOTH, WINDOWS 11 HOME",b0714kzn34,199,Gaming,879,Lenovo,16GB,AMD Ryzen 5,1TB SSD,Nvidia Geforce RTX 3050,Windows 11 Home,15.6 inches,1920 x 1080 pixels,Black,7.55 pounds,14 x 9 x 0.7 inches,1024,,ssd only,1,800-1000,15-17,16-Aug,Windows 11,Mid-Range GPU,Medium Res,010111010110000010011010001010001,hdd+ssd
"MSI GL75 LEOPARD GAMING LAPTOP: 17.3"" 144HZ DISPLAY, INTEL CORE I7-10750H, NVIDIA GEFORCE GTX 1660 TI, 16GB RAM, 512GB NVME SSD, WIN10, BLACK (10SDK-651)",b091265xft,200,Gaming,1200,MSI,16GB,Intel Core I7,512GB SSD,Nvidia Geforce GTX 1660,Windows 10 Home,17.3 inches,1920 x 1080 pixels,Black,5.51 pounds,14 x 9 x 0.7 inches,512,,ssd only,1,1200-1600,>17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,010010011000011010011001011010001,hdd+ssd
ASUS G75VW-RS72 2.30 I7-3610QM 3GB NVIDIA 670M FULLHD LAPTOP,b0087vxnxk,201,Gaming,1200,ASUS,3GB,Intel Core i5,1TB HDD,Nvidia Geforce GTX 670,Windows 7,17.3 inches,1920 x 1080 pixels,Black,4.5 pounds,14.0 x 9.0 x 0.7 inches,,1024,hdd only,2,1200-1600,>17,<8,Windows 7,Unknown,Medium Res,010010000001100001101011011010010,ssd+hdd
"ASUS ROG Strix Scar 15 (2021) Gaming Laptop, 15.6Â 300Hz IPS FHD, NVIDIA GeForce RTX 3080, AMD Ryzen 9 5900HX, 32GB DDR4, 1TB SSD, Opti-Mechanical Per-Key RGB Keyboard, Windows 10 Home, G533QS-DS98",b096vbdk9k,202,Gaming,1999,ASUS,32GB,AMD Ryzen 9,1TB SSD,Nvidia Geforce RTX 3080,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Black,5.07 pounds,13.94 x 10.2 x 1.07 inches,1024,,ssd only,1,1600-2000,15-17,24-32,Windows 10,High-End GPU,Medium Res,010011000001001010001001001010000,hdd+ssd
"LENOVO LEGION 5 GAMING LAPTOP, 15.6"" FULL HD 120HZ SCREEN, INTEL CORE I7-10750H PROCESSOR, NVIDIA GEFORCE GTX 1650 TI, 16GB RAM, 256GB SSD + 1TB HDD, BACKLIT KEYBOARD, WINDOWS 10 HOME",b08fvxvkwx,203,Gaming,1200,Lenovo,16GB,Intel Core I7,256GB SSD + 1TB SSD,Nvidia Geforce GTX 1650,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Black,11.0 pounds,14.0 x 9.0 x 0.7 inches,1280,,ssd only,1,1200-1600,15-17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,010010010110011010011001001010001,hdd+ssd
"2020 ASUS TUF 15.6"" FHD PREMIUM GAMING LAPTOP, 10TH GEN INTEL QUAD-CORE I5-10300H, 16GB RAM, 512GB SSD BOOT + 1TB HDD, NVIDIA GEFORCE GTX 1650TI 4GB GDDR6, RGB BACKLIT KEYBOARD, WINDOWS 10 HOME",b08nbz1ywd,204,Gaming,849,ASUS,16GB,Intel Core I5,512GB SSD + 1TB SSD,Nvidia Geforce GTX 1650,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Black,5.06 pounds,14.2 x 10.1 x 1.0 inches,1536,,ssd only,1,800-1000,15-17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,010111000001010110011001001010001,hdd+ssd
"ACER ASPIRE 5 A517-51G-55RE, 17.3"" FULL HD, 8TH GEN INTEL CORE I5-8250U, NVIDIA GEFORCE MX150, 8GB DDR4, 1TB HDD, 8X DVD, OBSIDIAN BLACK",b07b7wg9yf,205,Everyday Use,600,Acer,8GB,Intel Core I5,256GB SSD + 1TB SSD,Nvidia Geforce MX150,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Obsidian Black,3.31 pounds,14.0 x 9.0 x 0.7 inches,1280,,ssd only,1,<800,15-17,16-Aug,Windows 10,Unknown,Medium Res,001000000010010110101001001010001,hdd+ssd
"DELL G5 GAMING NOTEBOOK COMPUTER 15.6?, INTEL CORE I7-8750H, NVIDIA GEFORCE GTX 1050TI 4GB, 8GB RAM, 1TB + 128GB SSD STORAGE, G5587-7037RED-PUS",b07gflbnyd,206,Gaming,999,Dell,8GB,Intel Core I7,128GB SSD + 1TB SSD,Nvidia Geforce GTX 1050,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Red,6.3 pounds,14 x 9 x 0.7 inches,1152,,ssd only,1,800-1000,15-17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,010111001001011010011001001010001,hdd+ssd
"DELL G5587-7866BLK-PUS G5 15 5587 GAMING LAPTOP 15.6"" LED DISPLAY, 8TH GEN INTEL I7 PROCESSOR, 16GB MEMORY, 128GB SSD+1TB HDD, NVIDIA GEFORCE GTX 1050TI, LICORICE BLACK",b07cd3mrzf,207,Gaming,1200,Dell,16GB,Intel Core I7,128GB SSD + 1TB SSD,Nvidia Geforce GTX 1050,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Black,6.28 pounds,14 x 9 x 0.7 inches,1152,,ssd only,1,1200-1600,15-17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,010010001001011010011001001010001,hdd+ssd
"DELL GAMING LAPTOP - 15"" FHD, 8TH GEN INTEL CORE I7-8750H CPU, 16GB RAM, 256GB SSD+1TB HDD, NVIDIA GEFORCE GTX 1050TI, WINDOWS 10 HOME, BLACK - G3579-7989BLK-PUS",b07bxg7725,208,Gaming,1200,Dell,16GB,Intel Core I7,256GB SSD + 1TB SSD,Nvidia Geforce GTX 1050,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Black,5.57 pounds,10.16 x 14.9 x 0.89 inches,1280,,ssd only,1,1200-1600,15-17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,010010001001011010011001001010001,hdd+ssd
"HP ENVY - 17T TOUCH (4TH GEN INTEL CORE I7-4510U PROCESSOR, 4GB NVIDIA GEFORCE GTX 850M, FULL HD 1080P, 16GB DDR3L RAM, 1TB HARD DRIVE, 48WHR BATTERY, BACKLIT KEYBOARD, AC WLAN BLUETOOTH)",b00mgeoxvu,209,Gaming,600,HP,16GB,Intel Core I7,256GB SSD + 1TB SSD,Nvidia Geforce GTX 850,Windows 8,15.6 inches,1920 x 1080 pixels,Black,6.33 pounds,14.0 x 9.0 x 0.7 inches,1280,,ssd only,1,<800,15-17,16-Aug,Windows 8,Entry-Level GPU,Medium Res,011000010001011010000100001010001,hdd+ssd
"ELUKTRONICS MAX 17 (2021) 17.3"" RTX 3080 GAMING LAPTOP, AMD RYZEN 9 5900HX PROCESSOR, NVIDIA GEFORCE RTX 3080 GRAPHICS CARD, 17.3 INCH QHD 165HZ DISPLAY, 512GB NVME SSD, 16GB DDR4 RAM, WINDOWS 10 HOME",b097nrq7sm,210,Gaming,1200,Eluktronics,16GB,AMD Ryzen 9,512GB SSD,Nvidia Geforce RTX 3080,Windows 10 Home,17.3 inches,1920 x 1080 pixels,Black,5.0 pounds,14.0 x 9.0 x 0.7 inches,512,,ssd only,1,1200-1600,>17,16-Aug,Windows 10,High-End GPU,Medium Res,010010001011001010001001011010001,hdd+ssd
"CUK ASUS PROART STUDIOBOOK 16 OLED CONTENT CREATION LAPTOP (NVIDIA GEFORCE RTX 3070 TI, INTEL 14-CORE I7-12700H PROCESSOR, 64GB RAM, 2X1TB NVME, 16"" 4K OLED DISPLAY, WINDOWS 11 HOME) NOTEBOOK COMPUTER",b08hr749lr,211,Gaming,1200,ASUS,64GB,Intel Core I7,1TB SSD + 2TB SSD,Nvidia Geforce RTX 3070,Windows 11 Home,16.0 inches,3840 x 2400 pixels,Black,5.29 pounds,14.25 x 10.39 x 0.84 inches,3072,,ssd only,1,1200-1600,15-17,>40,Windows 11,High-End GPU,High Res,010010000001011010001010001000011,hdd+ssd
"LENOVO LEGION Y7000 GAMING LAPTOP, 15.6"" FHD IPS ANTI-GLARE LAPTOP (INTEL CORE I7-8750H PROCESSOR, NVIDIA GTX 1060, 16 GB DDR4, 1 TB HDD + 128 GB PCIE SSD, WINDOWS 10 HOME) 81LF0001US, BLACK",b07j26l99l,212,Gaming,600,Lenovo,16GB,Intel Core I7,1TB SSD,Nvidia Geforce GTX 1060,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Black,5.17 pounds,14 x 9 x 0.7 inches,1024,,ssd only,1,<800,15-17,16-Aug,Windows 10,Mid-Range GPU,Medium Res,011000010110011010011001001010001,hdd+ssd
"HP ENVY 17T-CG000 HOME AND ENTERTAINMENT LAPTOP (INTEL I7-1065G7 4-CORE, 16GB RAM, 1TB M.2 SATA SSD + 1TB HDD, NVIDIA MX330, 17.3"" TOUCH FULL HD (1920X1080), FINGERPRINT, WIFI, WIN 10 HOME) WITH HUB",b089yhtwr2,213,Everyday Use,1200,HP,16GB,Intel Core I7,1TB SSD,Nvidia Geforce MX330,Windows 10 Home,17.3 inches,1920 x 1080 pixels,Black,6.0 pounds,15.71 x 10.2 x 0.76 inches,1024,,ssd only,1,1200-1600,>17,16-Aug,Windows 10,Unknown,Medium Res,000010010001011010101001011010001,hdd+ssd
"HP OMEN 15-5220NR 15.6-INCH LAPTOP (INTEL CORE I7, 16 GB RAM, 512 GB SSD, NVIDIA GTX 960M GPU)",b013wm9qma,214,Gaming,1200,HP,16GB,Intel Core I7,512GB SSD,Nvidia Geforce GTX 960,Windows 10 Home,15.6 inches,1920 x 1080 pixels,Black,4.68 pounds,14 x 9 x 0.7 inches,512,,ssd only,1,1200-1600,15-17,16-Aug,Windows 10,Unknown,Medium Res,010010010001011010101001001010001,hdd+ssd
"LENOVO Y50 4K UHD LAPTOP COMPUTER - 59421859 - INTEL CORE I7-4710HQ / 512GB SOLID STATE DRIVE / 16GB RAM / 15.6"" UHD 3840X2160 DISPLAY / NVIDIA GEFORCE 860M 4GB / DUAL BAND WIRELESS AC / WINDOWS 8.1",b00kyi7wta,215,Gaming,1200,Lenovo,16GB,Intel Core I7,512GB SSD,Nvidia Geforce GTX 860,Windows 8,15.6 inches,1920 x 1080 pixels,Black,5.29 pounds,15.23 x 10.37 x 0.9 inches,512,,ssd only,1,1200-1600,15-17,16-Aug,Windows 8,Entry-Level GPU,Medium Res,010010010110011010000100001010001,hdd+ssd
"LENOVO THINKPAD 1.8GHZ 1GB RAM 80GB HARD DRIVE CDRW/DVD 128MB NVIDIA QUADRO NVS 140M,  INTEL 802.11AGN(N-DISABLED), BLUETOOTH, MODEM, 1GB ETHERNET, ULTRANAV, SECURE CHIP, FINGERPRINT READER",b000rihb8e,216,Everyday Use,600,Lenovo,80GB,Intel Core i5,256GB SSD,No Graphics Card,Windows Vista,15.6 inches,1920 x 1080 pixels,Black,5.3 pounds,14.0 x 9.0 x 0.7 inches,256,,ssd only,1,<800,15-17,>40,Windows Vista,No GPU,Medium Res,001000010110100010100101001010011,hdd+ssd
